fiscal_year,agency,state,value
20200305,三橋食品股份有限公司,雙翼食品有限公司,1
20200305,林岵屺企業股份有限公司,食家安飲食文化股份有限公司,1
20200305,上德食品有限公司,久翔食品股份有限公司,1
20200305,台灣卜蜂企業股份有限公司,雙翼食品有限公司,1
20200305,三統食品有限公司,珍品軒食品有限公司,2
20200305,中華民國全國漁會,味味美食有限公司,1
20200305,三統食品有限公司,沅益食品有限公司,1
20200305,巨富食品股份有限公司,食家安飲食文化股份有限公司,2
20200305,道霖有限公司,雙翼食品有限公司,1
20200305,鼎耀國際食品股份有限公司,統鮮美食股份有限公司,1
20200305,澤宇冷凍食品有限公司,寬大食品有限公司,2
20200305,新力香食品有限公司,寬大食品有限公司,1
20200305,台全珍豬工業股份有限公司,雙翼食品有限公司,3
20200305,中華民國全國漁會,雙翼食品有限公司,2
20200305,上德食品有限公司,上將食品有限公司,1
20200305,三統食品有限公司,味味美食有限公司,1
20200305,泓霖食品有限公司,味味美食有限公司,1
20200305,洽富實業股份有限公司,雙翼食品有限公司,1
20200305,萬偉股份有限公司,上將食品有限公司,1
20200305,泰安食品有限公司,全盛美食有限公司,1
20200305,冠霖物流有限公司,愛欣食品有限公司,1
20200306,三統食品有限公司,上將食品有限公司,1
20200306,上耀商行,上將食品有限公司,1
20200306,瑞飛興業有限公司,雙翼食品有限公司,1
20200306,萬偉股份有限公司,全盛美食有限公司,2
20200306,家騏有限公司,久翔食品股份有限公司,4
20200306,三統食品有限公司,全盛美食有限公司,1
20200306,冠霖物流有限公司,雙翼食品有限公司,1
20200306,佳晉食品有限公司,沅益食品有限公司,1
20200306,洽富實業股份有限公司,食家安飲食文化股份有限公司,2
20200306,百士達食品有限公司,統鮮美食股份有限公司,1
20200306,上耀商行,久翔食品股份有限公司,2
20200306,三統食品有限公司,久翔食品股份有限公司,1
20200306,泓霖食品工業有限公司,上將食品有限公司,2
20200306,巨富工業有限公司,寬大食品有限公司,1
20200306,鼎昌實業有限公司,雙翼食品有限公司,1
20200306,三統食品有限公司,味味美食有限公司,1
20200306,蓮漁發水產行,愛欣食品有限公司,1
20200306,中華民國全國漁會,雙翼食品有限公司,1
20200306,尚品肉鬆實業有限公司,上將食品有限公司,1
20200306,祥圃實業股份有限公司,食家安飲食文化股份有限公司,3
20200306,澤宇冷凍食品有限公司,寬大食品有限公司,2
20200306,台全珍豬工業股份有限公司,雙翼食品有限公司,1
20200306,中華民國全國漁會,食家安飲食文化股份有限公司,1
20200306,泓霖食品有限公司,味味美食有限公司,3
20200306,彙豐食品有限公司,統鮮美食股份有限公司,1
20200306,中央畜產有限公司,雙翼食品有限公司,1
20200306,巨富食品股份有限公司,食家安飲食文化股份有限公司,1
20200306,家騏有限公司,雙翼食品有限公司,1
20200306,雅勝冷凍食品股份有限公司,統鮮美食股份有限公司,2
20200306,超秦企業股份有限公司,全盛美食有限公司,2
20200306,三統食品有限公司,珍品軒食品有限公司,2
20200306,玖億珍鮮食品有限公司,全盛美食有限公司,1
20200306,台灣卜蜂企業股份有限公司,雙翼食品有限公司,1
20200307,川武食品股份有限公司,統鮮美食股份有限公司,1
20200307,三統食品有限公司,統鮮美食股份有限公司,1
20200307,上德食品有限公司,上將食品有限公司,1
20200307,上德食品有限公司,統鮮美食股份有限公司,1
20200307,上耀商行,統鮮美食股份有限公司,1
20200307,祖德素食有限公司,統鮮美食股份有限公司,1
20200307,萬偉股份有限公司,上將食品有限公司,2
20200307,家騏有限公司,統鮮美食股份有限公司,1
20200308,蓮漁發水產行,愛欣食品有限公司,2
20200308,百士達食品有限公司,愛欣食品有限公司,1
20200308,泓霖食品工業有限公司,上將食品有限公司,1
20200308,三統食品有限公司,愛欣食品有限公司,2
20200308,冠霖物流有限公司,上將食品有限公司,1
20200309,家騏有限公司,沅益食品有限公司,1
20200309,雅勝冷凍食品股份有限公司,沅益食品有限公司,1
20200309,三統食品有限公司,珍品軒食品有限公司,3
20200309,百士達食品有限公司,愛欣食品有限公司,1
20200309,雅勝冷凍食品股份有限公司,統鮮美食股份有限公司,1
20200309,泰安食品有限公司,全盛美食有限公司,3
20200309,上德食品有限公司,統鮮美食股份有限公司,2
20200309,川武食品股份有限公司,久翔食品股份有限公司,1
20200309,巨富工業有限公司,寬大食品有限公司,1
20200309,巨富食品股份有限公司,食家安飲食文化股份有限公司,2
20200309,三統食品有限公司,味味美食有限公司,3
20200309,萬偉股份有限公司,上將食品有限公司,2
20200309,上德食品有限公司,上將食品有限公司,1
20200309,復進企業股份有限公司,沅益食品有限公司,1
20200309,鼎耀食品股份有限公司,統鮮美食股份有限公司,1
20200309,中華民國全國漁會,雙翼食品有限公司,1
20200309,大成長城企業股份有限公司柳營肉品廠,上將食品有限公司,1
20200309,澤宇冷凍食品有限公司,寬大食品有限公司,3
20200309,冠霖物流有限公司,上將食品有限公司,2
20200309,祥圃實業股份有限公司,食家安飲食文化股份有限公司,1
20200309,台全珍豬工業股份有限公司,雙翼食品有限公司,2
20200309,泓霖食品有限公司,味味美食有限公司,2
20200309,尚品肉鬆實業有限公司,食家安飲食文化股份有限公司,1
20200309,泓霖食品工業有限公司,全盛美食有限公司,1
20200309,冠霖物流有限公司,愛欣食品有限公司,1
20200309,瑞飛興業有限公司,久翔食品股份有限公司,1
20200309,今元肉品股份有限公司,雙翼食品有限公司,1
20200309,冠霖物流有限公司,雙翼食品有限公司,1
20200309,家騏有限公司,久翔食品股份有限公司,1
20200309,佳晉食品有限公司,沅益食品有限公司,1
20200309,盛隆食品有限公司,愛欣食品有限公司,1
20200309,超秦企業股份有限公司,全盛美食有限公司,3
20200309,泓霖食品有限公司,久翔食品股份有限公司,5
20200309,三統食品有限公司,愛欣食品有限公司,1
20200309,中央畜產有限公司,雙翼食品有限公司,1
20200309,泓霖食品工業有限公司,上將食品有限公司,4
20200309,東昇米糧食品有限公司,統鮮美食股份有限公司,1
20200310,百士達食品有限公司,愛欣食品有限公司,1
20200310,三統食品有限公司,愛欣食品有限公司,1
20200310,復進企業股份有限公司,全盛美食有限公司,1
20200310,三統食品有限公司,沅益食品有限公司,1
20200310,巨富食品股份有限公司,食家安飲食文化股份有限公司,2
20200310,泓霖食品有限公司,統鮮美食股份有限公司,1
20200310,上德食品有限公司,統鮮美食股份有限公司,1
20200310,家騏有限公司,雙翼食品有限公司,1
20200310,雅勝冷凍食品股份有限公司,統鮮美食股份有限公司,1
20200310,澤宇冷凍食品有限公司,味味美食有限公司,2
20200310,冠霖物流有限公司,上將食品有限公司,1
20200310,雅勝冷凍食品股份有限公司,沅益食品有限公司,1
20200310,澤宇冷凍食品有限公司,寬大食品有限公司,2
20200310,三統食品有限公司,上將食品有限公司,2
20200310,上耀商行,統鮮美食股份有限公司,1
20200310,萬偉股份有限公司,上將食品有限公司,3
20200310,中華民國全國漁會,食家安飲食文化股份有限公司,2
20200310,中華民國全國漁會,上將食品有限公司,1
20200310,冠霖物流有限公司,雙翼食品有限公司,1
20200310,泓霖食品工業有限公司,全盛美食有限公司,2
20200310,冠霖物流有限公司,愛欣食品有限公司,1
20200310,三統食品有限公司,久翔食品股份有限公司,1
20200310,三統食品有限公司,全盛美食有限公司,3
20200310,三統食品有限公司,珍品軒食品有限公司,1
20200310,台全珍豬工業股份有限公司,雙翼食品有限公司,1
20200310,國麟農產品企業社,全盛美食有限公司,1
20200310,洽富實業股份有限公司,雙翼食品有限公司,1
20200310,復進企業股份有限公司,統鮮美食股份有限公司,1
20200310,泓霖食品有限公司,味味美食有限公司,1
20200310,中央畜產有限公司,雙翼食品有限公司,1
20200310,桂冠實業股份有限公司,上將食品有限公司,1
20200310,盛隆食品有限公司,愛欣食品有限公司,2
20200310,超秦企業股份有限公司,全盛美食有限公司,1
20200310,家騏有限公司,統鮮美食股份有限公司,1
20200311,三統食品有限公司,味味美食有限公司,1
20200311,巨富食品股份有限公司,食家安飲食文化股份有限公司,1
20200311,冠霖物流有限公司,愛欣食品有限公司,1
20200311,家騏有限公司,統鮮美食股份有限公司,2
20200311,復進企業股份有限公司,全盛美食有限公司,3
20200311,澤宇冷凍食品有限公司,寬大食品有限公司,2
20200311,巨富工業有限公司,寬大食品有限公司,2
20200311,雅勝冷凍食品股份有限公司,統鮮美食股份有限公司,1
20200311,三統食品有限公司,沅益食品有限公司,1
20200311,家騏有限公司,雙翼食品有限公司,1
20200311,川武食品股份有限公司,雙翼食品有限公司,1
20200311,超秦企業股份有限公司,全盛美食有限公司,2
20200311,中華民國全國漁會,全盛美食有限公司,1
20200311,中央畜產有限公司,雙翼食品有限公司,1
20200311,盛隆食品有限公司,愛欣食品有限公司,1
20200311,祥亮行銷事業股份有限公司,雙翼食品有限公司,1
20200311,中華民國全國漁會,味味美食有限公司,1
20200311,雅勝冷凍食品股份有限公司,沅益食品有限公司,1
20200311,三統食品有限公司,統鮮美食股份有限公司,1
20200311,上耀商行,統鮮美食股份有限公司,1
20200311,三統食品有限公司,珍品軒食品有限公司,3
20200311,東昇米糧食品有限公司,統鮮美食股份有限公司,2
20200311,三統食品有限公司,愛欣食品有限公司,3
20200311,泓霖食品工業有限公司,上將食品有限公司,1
20200311,鼎耀食品股份有限公司,統鮮美食股份有限公司,1
20200311,永新肉品興業有限公司,宏遠國際餐飲股份有限公司,1
20200311,祥圃實業股份有限公司,食家安飲食文化股份有限公司,1
20200311,萬偉股份有限公司,上將食品有限公司,2
20200311,冠霖物流有限公司,統鮮美食股份有限公司,1
20200311,鼎昌實業有限公司,雙翼食品有限公司,1
20200311,台全珍豬工業股份有限公司,雙翼食品有限公司,1
20200311,冠霖物流有限公司,上將食品有限公司,1
20200312,欣光食品股份有限公司,宏遠國際餐飲股份有限公司,1
20200312,澤宇冷凍食品有限公司,寬大食品有限公司,2
20200312,三統食品有限公司,愛欣食品有限公司,1
20200312,百士達食品有限公司,愛欣食品有限公司,1
20200312,泓霖食品工業有限公司,上將食品有限公司,3
20200312,佳晉食品有限公司,沅益食品有限公司,1
20200312,澤宇冷凍食品有限公司,味味美食有限公司,2
20200312,北記企業社,食家安飲食文化股份有限公司,1
20200312,冠霖物流有限公司,上將食品有限公司,1
20200312,祥圃實業股份有限公司,食家安飲食文化股份有限公司,2
20200312,上耀商行,上將食品有限公司,1
20200312,上德食品有限公司,統鮮美食股份有限公司,1
20200312,上耀商行,統鮮美食股份有限公司,1
20200312,萬偉股份有限公司,宏遠國際餐飲股份有限公司,1
20200312,上德食品有限公司,上將食品有限公司,1
20200312,鮮綠農業科技股份有限公司,雙翼食品有限公司,1
20200312,冠霖物流有限公司,愛欣食品有限公司,1
20200312,台全珍豬工業股份有限公司,雙翼食品有限公司,1
20200312,萬偉股份有限公司,上將食品有限公司,1
20200312,洽富實業股份有限公司,食家安飲食文化股份有限公司,2
20200312,瑞飛興業有限公司,雙翼食品有限公司,2
20200312,泓霖食品有限公司,味味美食有限公司,2
20200312,林岵屺企業股份有限公司,食家安飲食文化股份有限公司,1
20200312,盛隆食品有限公司,愛欣食品有限公司,1
20200312,中央畜產有限公司,雙翼食品有限公司,1
20200312,中華民國全國漁會,味味美食有限公司,1
20200312,雅勝冷凍食品股份有限公司,統鮮美食股份有限公司,1
20200312,泓霖食品工業有限公司,宏遠國際餐飲股份有限公司,1
20200312,家騏有限公司,統鮮美食股份有限公司,2
20200312,中華民國全國漁會,雙翼食品有限公司,1
20200312,祥亮行銷事業股份有限公司,雙翼食品有限公司,1
20200313,泓霖食品工業有限公司,上將食品有限公司,1
20200313,泰安食品股份有限公司,上將食品有限公司,1
20200313,玖億珍鮮食品有限公司,統鮮美食股份有限公司,1
20200313,家騏有限公司,雙翼食品有限公司,1
20200313,佳晉食品有限公司,沅益食品有限公司,1
20200313,長福食品有限公司,宏遠國際餐飲股份有限公司,1
20200313,津悅食品有限公司,味味美食有限公司,1
20200313,萬偉股份有限公司,全盛美食有限公司,1
20200313,中華民國全國漁會,久翔食品股份有限公司,1
20200313,中華民國全國漁會,食家安飲食文化股份有限公司,1
20200313,上耀商行,上將食品有限公司,1
20200313,中華民國全國漁會,雙翼食品有限公司,1
20200313,萬偉股份有限公司,久翔食品股份有限公司,1
20200313,三統食品有限公司,全盛美食有限公司,2
20200313,三統食品有限公司,宏遠國際餐飲股份有限公司,4
20200313,安得利食品股份有限公司,全盛美食有限公司,1
20200313,泓霖食品有限公司,味味美食有限公司,1
20200313,洽富實業股份有限公司,雙翼食品有限公司,1
20200313,家騏有限公司,久翔食品股份有限公司,3
20200313,泰安食品有限公司,全盛美食有限公司,3
20200313,瑞飛興業有限公司,雙翼食品有限公司,1
20200313,三統食品有限公司,珍品軒食品有限公司,2
20200313,台全珍豬工業股份有限公司,雙翼食品有限公司,2
20200313,大成長城企業股份有限公司柳營肉品廠,上將食品有限公司,1
20200313,澤宇冷凍食品有限公司,寬大食品有限公司,3
20200313,巨富食品股份有限公司,食家安飲食文化股份有限公司,2
20200313,祥亮行銷事業股份有限公司,雙翼食品有限公司,1
20200313,雅勝冷凍食品股份有限公司,統鮮美食股份有限公司,2
20200313,中央畜產有限公司,雙翼食品有限公司,1
20200313,三橋食品股份有限公司,雙翼食品有限公司,1
20200313,上耀商行,久翔食品股份有限公司,1
20200313,泓霖食品工業有限公司,宏遠國際餐飲股份有限公司,3
20200313,超秦企業股份有限公司,全盛美食有限公司,3
20200314,中華民國全國漁會,上將食品有限公司,1
20200314,萬偉股份有限公司,上將食品有限公司,1
20200314,三統食品有限公司,珍品軒食品有限公司,1
20200314,十方物聯有限公司,統鮮美食股份有限公司,1
20200314,三統食品有限公司,統鮮美食股份有限公司,1
20200314,冠霖物流有限公司,統鮮美食股份有限公司,1
20200314,上德食品有限公司,上將食品有限公司,1
20200314,雅勝冷凍食品股份有限公司,統鮮美食股份有限公司,1
20200315,盛隆食品有限公司,愛欣食品有限公司,1
20200315,百士達食品有限公司,愛欣食品有限公司,2
20200315,泓霖食品工業有限公司,上將食品有限公司,1
20200316,中華民國全國漁會,雙翼食品有限公司,3
20200316,津悅食品有限公司,宏遠國際餐飲股份有限公司,1
20200316,三統食品有限公司,珍品軒食品有限公司,4
20200316,林岵屺企業股份有限公司,食家安飲食文化股份有限公司,1
20200316,泓霖食品工業有限公司,宏遠國際餐飲股份有限公司,2
20200316,家騏有限公司,統鮮美食股份有限公司,2
20200316,三統食品有限公司,沅益食品有限公司,1
20200316,大台北興業有限公司,食家安飲食文化股份有限公司,1
20200316,中央畜產有限公司,雙翼食品有限公司,1
20200316,超秦企業股份有限公司,全盛美食有限公司,1
20200316,雅勝冷凍食品股份有限公司,統鮮美食股份有限公司,1
20200316,巨富食品股份有限公司,食家安飲食文化股份有限公司,2
20200316,立園商行,上將食品有限公司,1
20200316,洽富實業股份有限公司,食家安飲食文化股份有限公司,2
20200316,泰安食品有限公司,全盛美食有限公司,1
20200316,得龍食品企業有限公司,統鮮美食股份有限公司,1
20200316,三統食品有限公司,味味美食有限公司,1
20200316,上德食品有限公司,上將食品有限公司,1
20200316,泓霖食品有限公司,味味美食有限公司,3
20200316,洽富實業股份有限公司,雙翼食品有限公司,1
20200316,復進企業股份有限公司,統鮮美食股份有限公司,3
20200316,萬偉股份有限公司,上將食品有限公司,1
20200316,家品商行,全盛美食有限公司,1
20200316,三統食品有限公司,久翔食品股份有限公司,1
20200316,新力香食品有限公司,寬大食品有限公司,1
20200316,祥圃實業股份有限公司,食家安飲食文化股份有限公司,1
20200316,泓霖食品有限公司,久翔食品股份有限公司,3
20200316,東昇米糧食品有限公司,統鮮美食股份有限公司,1
20200316,三統食品有限公司,愛欣食品有限公司,2
20200316,泓霖食品工業有限公司,上將食品有限公司,1
20200316,菖駿企業社,味味美食有限公司,1
20200316,萬偉股份有限公司,久翔食品股份有限公司,1
20200316,百士達食品有限公司,愛欣食品有限公司,2
20200316,澤宇冷凍食品有限公司,寬大食品有限公司,2
20200316,三統食品有限公司,上將食品有限公司,3
20200316,上德食品有限公司,宏遠國際餐飲股份有限公司,2
20200316,上德食品有限公司,統鮮美食股份有限公司,1
20200316,上耀商行,統鮮美食股份有限公司,1
20200316,津悅食品有限公司,味味美食有限公司,1
20200316,瑞飛興業有限公司,久翔食品股份有限公司,1
20200316,萬偉股份有限公司,宏遠國際餐飲股份有限公司,2
20200316,百士達食品有限公司,統鮮美食股份有限公司,1
20200316,冠霖物流有限公司,全盛美食有限公司,2
20200316,三統食品有限公司,宏遠國際餐飲股份有限公司,1
20200316,今元肉品股份有限公司,雙翼食品有限公司,2
20200316,冠霖物流有限公司,上將食品有限公司,2
20200316,冠霖物流有限公司,統鮮美食股份有限公司,2
20200316,泰安食品股份有限公司,上將食品有限公司,1
20200316,三統食品有限公司,統鮮美食股份有限公司,2
20200316,冠霖物流有限公司,宏遠國際餐飲股份有限公司,1
20200316,家騏有限公司,久翔食品股份有限公司,2
20200317,巨富工業有限公司,寬大食品有限公司,1
20200317,玖億珍鮮食品有限公司,統鮮美食股份有限公司,1
20200317,超秦企業股份有限公司,全盛美食有限公司,1
20200317,巨富食品股份有限公司,食家安飲食文化股份有限公司,1
20200317,泓霖食品有限公司,久翔食品股份有限公司,2
20200317,萬偉股份有限公司,上將食品有限公司,2
20200317,上德食品有限公司,久翔食品股份有限公司,1
20200317,雅勝冷凍食品股份有限公司,久翔食品股份有限公司,1
20200317,中華民國全國漁會,宏遠國際餐飲股份有限公司,1
20200317,十方物聯有限公司,統鮮美食股份有限公司,1
20200317,東昇米糧食品有限公司,統鮮美食股份有限公司,2
20200317,桂冠實業股份有限公司,珍品軒食品有限公司,1
20200317,鼎耀食品股份有限公司,久翔食品股份有限公司,1
20200317,祥亮行銷事業股份有限公司,食家安飲食文化股份有限公司,1
20200317,大台北興業有限公司,食家安飲食文化股份有限公司,1
20200317,泓霖食品有限公司,味味美食有限公司,3
20200317,三統食品有限公司,宏遠國際餐飲股份有限公司,1
20200317,三統食品有限公司,味味美食有限公司,2
20200317,上耀商行,上將食品有限公司,1
